"setup_audio_stream","Audio Stream","오디오 스트림","Audio Stream","Аудио поток","Flux audio","Audio Stream","Audiokanal","Flujo de audio","Stream Audio"
"setup_stream1","Main Stream","주 영상","Main Stream","Первый поток","Flux principal","Hoofd Stream","Hauptstream","Flujo principal","Stream Principale"
"setup_stream2","Sub Stream","부 영상","Sub Stream","Второй поток","Flux secondaire 1","Sub Stream","Substream","Segundo flujo","Stream secondario"
"setup_stream3","3rd Stream","3번째 영상","3rd Stream","Третий поток","Flux secondaire 2","3e Stream","Dritte stream","Tercer flujo","Terzo Stream"
"Stream-1","Channel 1","영상 1","チャンネル 1","Поток 1","Canal 1","Kanaal 1","Kanal 1","Canal 1","Canale 1"
"Stream-2","Channel 2","영상 2","チャンネル 2","Поток 2","Canal 2","Kanaal 2","Kanal 2","Canal 2","Canale 2"
"Stream-3","Channel 3","영상 3","チャンネル 3","Поток 3","Canal 3","Kanaal 3","Kanal 3","Canal 3","Canale 3"
"main_full_screen","FULL SCREEN","전체 화면","フルスクリーン","На весь экран","PLEIN ÉCRAN","VOLLEDIG SCHERM","Vollbild","Pantalla completa","SCHERMO INTERO"
"main_ptz_control","PTZ CONTROL","PTZ 제어","PTZ コントロール","PTZ управление","CONTRÔLE PTZ","PTZ INSTELLINGEN","PTZ Steuerung","Control PTZ","CONTROLLO PTZ"
"Pan/tilt_Speed","Pan/Tilt Speed","팬/틸트 속도","パン／チルト　速度","Скорость поворота/наклона","Pan / Tilt Speed","Pan/Tilt Snelheid","Schwenk-/Neigegeschwindigkeit","Velocidad inclinación (pan/tilt)","Velocità rotazione/inclinazione"
"Zoom_Speed","Zoom Speed","줌 속도","ズーム　速度","Скорость zoom","Vitesse de zoom","Zoom Snelheid","Zoomgeschwindigkeit","Velocidad zoom","Velocità dello zoom"
"main_zoom","ZOOM","줌","ズーム","Масштаб","ZOOM","ZOOM","Zoom","ZOOM","ZOOM"
"main_iris","IRIS","조리개","アイリス","Диафрагма","IRIS","IRIS","Iris","IRIS","IRIS"
"main_focus","FOCUS","초점","フォーカス","Фокус","FOCUS","FOCUS","FOKUS","FOCO","FOCUS"
"main_pt_speed","SPEED","제어속도","速度","Скорость","VITESSE","SNELHEID","Geschwindigkeit","Velocidad","VELOCITÀ"
"set_home_position","HOME POSITION","HOME POSITION","HOME POSITION","Исходное положение","POSITION INITIAL","START POSITIE","Ausgangsposition","POSICIÓN INICIAL","POSIZIONE HOME"
"main_manual","Manual","수동","手動","Вручную","Manuel","Handmatig","Anleitung","Manual","Manuale"
"main_focus_mode","Focus Mode","초점설정","フォーカスモード","Режим фокусировки","Mode de mise au point","Focus Modus","Fokussierungsmodus","Modo Foco","Modalità di messa a fuoco"
"main_lang_eng","English","영어","英語","Английский","Anglais","Engels","Englisch","Inglés","Inglese"
"main_lang_kr","Korean","한글","韓国語","Корейский","coréen","Koreaans","Koreanisch","Coreano","Coreano"
"main_lang_lang","Language","언어","言語","Язык","Langue","Taal","Sprache","Idioma","Lingua"
"main_alarm_input","ALARM INPUT","알람 입력","アラーム入力","Тревожный вход","ENTRÉE D'ALARME","ALARM INGANG","Alarmeingang","ENTRADA DE ALARMA","INGRESSO ALLARME"
"main_alarm_input_cbca","DI","알람 입력","アラーム入力","Тревожный вход","DI","Digitale Ingang","Digitaler Eingang","Entrada digital","DI"
"main_relay_out","RELAY OUT","릴레이 출력","リレー出力","Тревожный выход","Sortie Relais","RELAIS UITGANG","Relaisausgang","SALIDA DE RELÉ","USCITA RELÈ"
"main_relay_out_cbca","DO","릴레이 출력","リレー出力","Тревожный выход","DO","Digitale Uitgang","Digitaler Ausgang","Salida de Relé Principal","DO"
"main_speaker","SPEAKER","스피커","スピーカー","Динамик","HP","LUIDSPREKER","Lautsprecher","ALTAVOZ","Altoparlante"
"main_mic","MIC","마이크","マイク","Микрофон","MIC","MIC","Mikrophon","MICRÓFONO","MIC"
"main_mute","MUTE","음소거","MUTE","Выключение звука","MUET","MUTE","Stumm","MUTE","MUTO"
"main_backup","BACKUP","백업","バックアップ","Архивация","SAUVEGARDE","BACKUP","Backup","BACKUP","BACKUP"
"main_capture","CAPTURE","스냅샷","キャプチャー","Снимок","CAPTURER","CAPTURE","Erfassen","CAPTURAR","MEMORIZZARE"
"main_print","PRINT","프린트","プリント","Печать","IMPRESSION","AFDRUKKEN","Drucken","IMPRIMIR","STAMPA"
"main_record","RECORD","녹화","録画","Запись","RECORD","OPNEMEN","Aufnahme","GRABAR","DISCO"
"main_motion","MOTION","움직임","モーション","Детектор движения","MOUVEMENT","BEWEGING","Bewegung","MOVIMIENTO","MOVIMENTO"
"main_camtime","Camera Time","카메라 시간","カメラの時刻","Время","Heure de la caméra","Camera Tijd","Kamerazeit","Hora de la cámara","Data/Ora Telecamera"
"basic","BASIC","기본 설정","基本","Базовый","BASIC","BASIS","GRUNDLAGEN","BÁSICO","BASE"
"Video","VIDEO","비디오","ビデオ","Видео","VIDÉO","VIDEO","Video","VÍDEO","VIDEO"
"Images","IMAGES","IMAGES","IMAGES","Изображение","IMAGES","IMAGES","BILDER","IMÁGENES","IMMAGINI"
"setup_video","Video","비디오","ビデオ","Видео","Vidéo","Video","Video","Vídeo","Video"
"Video&Audio","VIDEO&AUDIO","비디오&오디오","ビデオ&音声","Видео и аудио","VIDÉO ET AUDIO","VIDEO & AUDIO","Video und Audio","AUDIO Y VÍDEO","VIDEO&AUDIO"
"fisheye","FISHEYE","피쉬아이","魚眼","Рыбий глаз","FISHEYE","FISHEYE","Fisheye","Ojo de pez","GRANDANGOLO"
"settings","SETTINGS","설정","設定","Параметры","PARAMÈTRES","INSTELLINGEN","Einstellungen","AJUSTES","IMPOSTAZIONI"
"roi","ROI","관심영역","関心領域機能","Область интереса","ROI","Region of Interest","Gebiet von Interesse","ROI","ROI"
"smart_lbr","Smart Bitrate Control","스마트 비트레이트 제어","スマートビットレート制御","Интеллектуальный контроль битрейта","Contrôle intelligent du débit binaire","Smart Bitrate Instellingen","Intelligente Bitratenkontrolle","Smart Bitrate Control","Controllo Intelligente del Bitrate"
"calibration_center","CALIBRATION","중점 보정","キャリブレーション","Калибровка","ÉTALONNAGE","CALIBRATIE","Kalibrierung","CALIBRACIÓN","CALIBRAZIONE"
"Privacy_Mask","PRIVACY MASK","사생활 보호","プライバシーマスク","Маскирование","MASQUE DE CONFIDENTIALITÉ","PRIVACY MASKER","Datenschutz-Maske","MÁSCARA DE PRIVACIDAD","MASCHERA PRIVACY"
"osd","OSD","OSD","オンスクリーン表示","Наложение информации","OSD","OSD","OSD","OSD","OSD"
"motion","MOTION","움직임감지","モーション","Детекция движения","MOUVEMENT","BEWEGING","Bewegung","MOVIMIENTO","MOVIMENTO"
"camera","CAMERA","카메라","カメラ","Камера","CAMÉRA","CAMERA","Kamera","CÁMARA","TELECAMERA"
"Exposure_Settings","EXPOSURE SETTINGS","노출 설정","露光設定","Экспозиция","RÉGLAGES D'EXPOSITION","BELICHTING INSTELLINGEN","BELICHTUNGSEINSTELLUNGEN","Ajustes de exposición","IMPOSTAZIONI DI ESPOSIZIONE"
"Day_Night_Settings","DAY&NIGHT SETTINGS","주/야간 설정","デイ&ナイト設定","День/ночь","RÉGLAGES DE JOUR  NUIT","DAG/NACHT INSTELLINGEN","Tag-/Nachteinstellung","AJUSTES día y noche","IMPOSTAZIONI GIORNO&NOTTE"
"White_Balance","WHITE BALANCE","화이트 밸런스","ホワイトバランス","Баланс белого","BALANCE DES BLANCS","WIT BALANS","Weißabgleich","BALANCE DE BLANCOS","BILANCIAMENTO DEL BIANCO"
"Image_Adjustment","IMAGE ADJUSTMENT","이미지 설정","画像調整","Настройка изображения","AJUSTEMENT D'IMAGE","BEELD AANPASSING","Bildeinstellung","AJUSTE DE LA IMAGEN","REGOLAZIONE DELL'IMMAGINE"
"Image_Enhancement","IMAGE ENHANCEMENT","이미지 개선","画像処理","Улучшение изображения","AMÉLIORATION D'IMAGES","BEELD VERBETERING","Bildverbesserung","MEJORA DE LA IMAGEN","MIGLIORAMENTO DELL'IMMAGINE"
"Backlight_Switch","BACKLIGHT SETTINGS","역광 보정 설정","逆光設定","Компенсация засветки","RÉGLAGES DU RÉTROÉCLAIRAGE","TEGENLICHT INSTELLINGEN","Hintergrundbeleuchtung Einstellung","AJUSTES LUZ DE FONDO","IMPOSTAZIONI RETROILLUMINAZIONE"
"Video_Enhancement","VIDEO ENHANCEMENT","비디오 개선","ビデオ処理","УЛУЧШЕНИЕ ВИДЕО","AMÉLIORATION VIDÉO","VIDEO VERBETERING","Videoverbesserung","Mejora de vídeo","MIGLIORAMENTO VIDEO"
"LV_Filter_Operation","LV Filter Operation","LV필터 일반설정","LV Filter Operation","LV Filter Operation","Fonctionnement du filtre LV","LV Filter bedrijf","UV-Filterbetrieb","Operación filtro LV","Funzionamento del filtro LV"
"LV_Filter_Settings","LV Filter Settings","LV필터 고급설정","LV Filter Settings","LV Filter Settings","Paramètres du filtre LV","LV Filter Instellingen","UV-Filtereinstellung","Configuración del filtro de LV","Impostazioni filtro LV"
"LV_Filter_Mode","LV Filter Mode","LV필터 모드","LV Filter Mode","LV Filter Mode","Mode de filtre LV","LV Filter Modus","UV-Filtermodus","Modo de filtro LV","Modalità filtro LV"
"network","NETWORK","네트워크","ネットワーク","Сеть","RÉSEAU","NETWERK","Netzwerk","RED","RETE"
"status","STATUS","상태정보","状態","Статус","STATUT","STATUS","Status","ESTADO","STATO"
"Network_Settings","NETWORK SETTINGS","네트워크 설정","ネットワーク設定","Настройка сети","PARAMÈTRES RÉSEAU","NETWERK INSTELLINGEN","Netzwerkeinstellung","CONFIGURACIÓN DE LA RED","IMPOSTAZIONI DI RETE"
"AUTO_IP","AUTO IP","AUTO IP","自動IP","Авто IP","AUTO IP","AUTO IP","Auto IP","AUTO IP","IP AUTO"
"RTSP_Settings","RTSP SETTINGS","RTSP 설정","RTSP 設定","Параметры RTSP","PARAMÈTRES RTSP","RTSP INSTELLINGEN","RTSP Einstellung","AJUSTES RTSP","IMPOSTAZIONI RTSP"
"ONVIF","ONVIF","ONVIF","ONVIF","ONVIF","ONVIF","ONVIF","Onvif","ONVIF","ONVIF"
"UPNP","UPNP","UPNP","UPNP","UPNP","UPNP","UPNP","UPNP","UPnP","UPNP"
"DDNS","DDNS","DDNS","DDNS","DDNS","DDNS","DDNS","DDNS","DDNS","DDNS"
"FTP","FTP","FTP","FTP","FTP","FTP","FTP","FTP","FTP","FTP"
"SMTP","SMTP","SMTP설정","SMTP","SMTP","SMTP","SMTP","SMTP","SMTP","SMTP"
"SNMP","SNMP","SNMP설정","SNMP","SNMP","SNMP","SNMP","SNMP","SNMP","SNMP"
"setup_rtp_multicast","Rtp Multicast","RTP 멀티캐스트","Rtp マルチキャスト","RTP Multicast","Multicast Rtp","RTP Multicast","RTP Multicast","RTP Multidifusión","Multicast Rtp"
"MULTICAST","MULTICAST","멀티캐스트","マルチキャスト","Multicast","Multicast","MULTICAST","Multicast","Multidifusión","MULTICAST"
"RTSP_STATUS","RTSP INFORMATION","RTSP정보","RTSP 情報","RTSP","INFORMATIONS RTSP","RTSP INFORMATIE","RTSP Status","INFORMACIÓN RTSP","INFORMAZIONI RTSP"
"RTSP_STATUS1","RTSP INFORMATION","RTSP정보","RTSP 情報","НАСТРОЙКА RTSP","INFORMATIONS RTSP","RTSP INFORMATIE","RTSP Information","INFORMACIÓN RTSP","INFORMAZIONI RTSP"
"record","RECORD","녹화","録画","Запись","Enregistrement","OPNEMEN","Aufzeichnung","GRABAR","DISCO"
"record_management","MANAGEMENT","녹화 관리","管理","Настройка записи","GESTION","OPNAME BEHEER","MANAGEMENT","ADMINISTRACIÓN","GESTIONE"
"record_list","RECORD LIST","녹화 목록","録画リスト","Архив","LISTE DES ENREGISTREMENTS","OPNAME LIJST","Aufzeichnungsliste","LISTA DE REGISTROS","ELENCO REGISTRAZIONI"
"storage","STORAGE","저장소","ストレージ","Накопитель","ESPACE HDD","OPSLAG","Speicher","ALMACENAMIENTO","ARCHIVIO DATI"
"setup_storage_device","Storage Device","저장소 장치","Storage Device","Карта памяти","Périphérique de stockage","Opslag Medium","Speicher Gerät","Dispositivo de almacenamiento","Dispositivo di archiviazione"
"trigger_action","TRIGGER ACTION","계기동작","トリガー動作","Реакция на событие","ACTION DE DÉCLENCHEMENT","TRIGGER ACTIE","AUSLÖSER AKTION","ACCIÓN TRIGGER","AZIONE DI ATTIVAZIONE"
"events","EVENTS","이벤트","イベント","События","ÉVÉNEMENTS","GEBEURTENIS","VERANSTALTUNGEN","EVENTOS","EVENTI"
"action_rules","ACTION RULES","동작규칙","動作ルール","Правила реакций","RÈGLES D'ACTION","ACTIE REGELS","Aktionsregel","REGLAS DE ACCIÓN","REGOLE DI AZIONE"
"setup_operation_duration","Operation Interval","동작간격","処理間隔","Длительность","Intervalle de fonctionnement","Bedrijfsinterval tijd","Betriebsintervall","Operación por intervalos","Intervallo di operazione"
"event_rules","EVENT RULES","이벤트규칙","イベントルール","Правила событий","RÈGLES D'ÉVÉNEMENT","GEBEURTENIS REGELS","VERANSTALTUNGSVORSCHRIFTEN","Reglas del evento","REGOLE DELL'EVENTO"
"schedule","SCHEDULE","스케줄","スケジュール","Расписание","CALENDRIER","TIJDSCHEMA","Zeitplan","CALENDARIO","CALENDARIO"
"recurrences","RECURRENCES","반복","再発","рецидивы","RÉCURRENCES","REPETEREND","REZEPTIONEN","RECURRENCIAS","RICORRENZE"
"temperature","TEMPERATURE","온도","温度","Температура","TEMPÉRATURE","TEMPERATUUR","Temperatur","TEMPERATURA","TEMPERATURA"
"temperature_seek","SYSTEM TEMPERATURE","시스템 온도","温度","Температура","TEMPÉRATURE","TEMPERATUUR","ANLAGENTEMPERATUR","TEMPERATURA","TEMPERATURA DEL SISTEMA"
"transfer","IMAGE TRANSFER","이미지전송","画像転送","Отправка скриншотов","TRANSFERT D'IMAGES","BEELD OVERDRACHT","BILDÜBERTRAGUNG","TRANSFERENCIA DE IMAGEN","TRASFERIMENTO IMMAGINE"
"digital_input","ALARM INPUT","알람 입력","アラーム入力","Тревожный вход","ENTRÉE D'ALARME","ALARM INGANG","ALARM EINGANG","ENTRADA DE ALARMA","INGRESSO ALLARME"
"digital_output","RELAY OUTPUT","릴레이 출력","リレー出力","Тревожный выход","SORTIE RELAIS","RELAIS UITGANG","RELAISAUSGANG","SALIDA DE RELÉ","USCITA RELÈ"
"system","SYSTEM","시스템","システム","Система","SYSTÈME","SYSTEEM","ANLAGE","SISTEMA","SISTEMA"
"System_Information","SYSTEM INFORMATION","시스템 정보","システム情報","Сведения о системе","INFORMATIONS  SYSTÈME","SYSTEEM INFORMATIE","Anlage Informationen","INFORMACIÓN DEL SISTEMA","INFORMAZIONI DI SISTEMA"
"System_diagnostics","SYSTEM DIAGNOSTICS","시스템 진단","システム診断","СИСТЕМНАЯ ДИАГНОСТИКА","DIAGNOSTIQUE SYSTEME","SYSTEEM DIAGNOSE","Anlage Diagnostik","DIAGNOSTICO DEL SISTEMA","DIAGNOSTICA DI SISTEMA"
"rs485","rs485","rs485","rs485","RS485","RS485","RS-485","RS485","RS485","rs485"
"firmware_update","FIRMWARE UPDATE","시스템소프트웨어 업데이트","ファームウェア更新","Обновить прошивку","MISE À JOUR DU FIRMWARE","FIRMWARE UPDATE","FIRMWARE-AKTUALISIERUNG","ACTUALIZACIÓN DE FIRMWARE","AGGIORNAMENTO FIRMWARE"
"Date&Time_Settings","DATE&TIME SETTING","날짜/시간 설정","日付と時刻の設定","даты&времени","RÉGLAGE  DATE ET HEURE","DATUM & TIJD INSTELLING","Datums- und Zeiteinstellung","AJUSTE FECHA&HORA","IMPOSTAZIONI DATA&ORA"
"Dst_Settings","DST SETTINGS","DST 설정","DST 設定","Настройки DST","PARAMÈTRES DST","ZOMER- WINTERTIJD INSTELLING","Sommerzeiteinstellung","AJUSTES DST","IMPOSTAZIONI ORA LEGALE"
"User_Management","USER MANAGEMENT","사용자관리","ユーザー管理","Пользователи","GESTION DES UTILISATEURS","GEBRUIKER BEHEER","Benutzermanagement","GESTIÓN DE USUARIOS","GESTIONE UTENTI"
"DST_SETTINGS","DST SETTINGS","DST 설정","DST 設定","Настройки DST","PARAMÈTRES DST","ZOMER- WINTERTIJD","Sommerzeiteinstellung","AJUSTES DST","IMPOSTAZIONI ORA LEGALE"
"System_log","LOG","로그","ログ","Журнал","HISTORIQUE","LOGBOEK","Systemlog","INICIAR SESIÓN","LOG"
"Language","LANGUAGE","언어 설정","言語","Язык","LANGUE","TAAL","Sprache","IDIOMA","LINGUAGGIO"
"Factory_Reset","FACTORY RESET","공장 초기화","工場出荷時設定にリセット","Сброс настроек","RETOUR AUX PARAMÈTRES D'USINE","Fabrieksinstellingen herstellen","Werkseinstellung","RESTABLECER AJUSTES DE FÁBRICA","RIPRISTINO IMPOSTAZIONI DI FABBRICA"
"restart","RESTART","재시작","再起動","Перезагрузка","REDÉMARRER","HERSTART","Neustart","REINICIAR","RIAVVIA"
"video_configuration","VIDEO CONFIGURATION","비디오 설정","ビデオ設定","Настройка видео","CONFIGURATION VIDÉO","VIDEO CONFIGURATIE","Video Einstellung","CONFIGURACIÓN DE VÍDEO","CONFIGURAZIONE VIDEO"
"stream","Stream","채널","ストリーム","Поток","Flux","Stream","Stream","Flujo","Stream"
"codec","Codec","코덱","コーデック","Кодек","Codec","Codec","Codec","Codec","Codec"
"H.264","H.264","H.264","H.264","H.264","H.264","H.264","H.264","H.264","H.264"
"M-JPEG","M-JPEG","M-JPEG","M-JPEG","M-JPEG","M-JPEG","M-JPEG","M-JPEG","M-JPEG","M-JPEG"
"description","Description","설명","説明","Название","Description","Omschrijving","Beschreibung","Descripción","Descrizione"
"H264_main","H.264 main","H.264 main","H.264 メイン","H.264 main","H.264 principal","H.264 Hoofd stream","H.264 main","Principal H.264","H.264 principale"
"H264_sub","H.264 sub","H.264 sub","H.264 サブ","H.264 sub","H.264 secondaire","H.264 Sub stream","H.264 sub","Secundario H.264","H.264 secondario"
"resolution","Resolution","해상도","解像度","Разрешение","Résolution","Resolutie","Auflösung","Resolución","Risoluzione"
"frame_rate","Frame Rate(FPS)","프레임 비율(FPS)","フレームレート (FPS)","Количество кадров (fps)","Fréquence d'images (FPS)","Frame Rate (FPS)","Bildfrequenz (FPS)","Imágenes por segundo (IPS)","Frequenza fotogrammi (FPS)"
"gop","GOP","GOP","GOP","Длина GOP","GOP","G.O.P. (Group of Pictures)","GOP","GOP","GOP"
"h264_profile","Profile","프로파일","プロファイル","Профиль","Profil","Profiel","Profil","Perfil","Profilo"
"h264_baseline","Baseline","낮음","ベースライン","Baseline","Référence","Standaard instellingen","Basislinie","Base","BaseLine"
"h264_main","Main","중간","メイン","Main","Principale","Hoofd","Haupt","Principal","Main"
"h264_high","High","높음","高","High","Haute","Hoog","Hoch","Alto","High"
"bitrate_mode","Bitrate Mode","비트레이트 종류","ビットレートモード","Тип битрейта","Mode débit binaire","Bitrate Mode","Bitrate-Modus","Modo Bitrate","Modalità bitrate"
"smart_core","Smart Core","Smart Core","Smart Core","Smart Core","Smart Core","Smart Core","Intelligenter Kern","Codificación inteligente","Nucleo Intelligente"
"smart_core_udp","SMART STREAM","SMART STREAM","SMART STREAM","SMART STREAM","SMART STREAM","Smart Stream","Intelligenter Stream","FLUJO INTELIGENTE","SMART STREAM"
"setup_coremode_0","Smart.RC","Smart.RC","Smart.RC","Smart.RC","Smart.RC","Smart RC","Intelligenter RC","Smart.RC","Smart.RC"
"setup_coremode_0_udp","SMART STREAM RC","SMART STREAM RC","SMART STREAM RC","SMART STREAM RC","SMART STREAM RC","Smart Stream RC","Intelligenter Stream RC","FLUJO RC INTELIGENTE","SMART STREAM RC"
"setup_coremode_1","Smart.ACF","Smart.ACF","Smart.ACF","Smart.ACF","Smart.ACF","Smart ACF","Intelligenter.ACF","Smart.ACF","Smart.ACF"
"setup_coremode_1_udp","SMART STREAM MTC","SMART STREAM MTC","SMART STREAM MTC","SMART STREAM MTC","SMART STREAM MTC","Smart Stream MTC","Intelligenter Stream MTC","FLUJO MTC INTELIGENTE","SMART STREAM MTC"
"setup_coremode_1_stanley","SMART STREAM ETC","SMART STREAM ETC","SMART STREAM ETC","SMART STREAM ETC","SMART STREAM ETC","Smart Stream ETC","Intelligenter Stream ETC","FLUJO ETC INTELIGENTE","SMART STREAM ECC"
"target_bitrate","Target Bitrate","비트레이트","ターゲットビットレート","Битрейт","Débit cible","Target Bitrate","Ziel-Bitrate","Bitrate objetivo","Bitrate Desiderato"
"quality","Quality","화질","品質","Качество","Qualité","Kwaliteit","Qualität","Calidad","Qualità"
"rtsp_session","RTSP Session","RTSP 설정","RTSP セッション","Сессия RTSP","Session RTSP","RTSP Sessie","RTSP Sitzung","Sesión RTSP","Sessione RTSP"
"timeout","Time Out","타임아웃","タイムアウト","Интервал (тайм-аут)","Time Out","Time Out","Zeitsperre","Expiración","Time Out"
"setup_QoS","QoS Setting","Qos 설정","QoS設定","Настройка QoS","Paramètre QoS","QoS Instelling","QoS Einstellungen","Configuración de QoS","Impostazioni QoS"
"setup_DSCP","DSCP","DSCP","DSCP","DSCP","DSCP","DSCP","DSCP","DSCP","DSCP"
"vbr","VBR","가변비트레이트","可変ビットレート","VBR","VBR","VBR","VBR","VBR","VBR"
"cbr","CBR","고정비트레이트","固定ビットレート","CBR","CBR","CBR","CBR","CBR","CBR"
"osd_configuration","On Screen Display(OSD) Configuration","OSD 설정","オンスクリーン表示 (OSD) 設定","Настройка наложения информации","Configuration de l'affichage à l'écran (OSD)","On Screen Display(OSD) Configuratie","OSD Einstellung","Configuración OSD","Configurazione OSD (Sovraimpressione Video)"
"date_time","Date & Time","날짜/시간","日付と時刻","Дата и время","Date et heure","Datum & Tijd","Datum und Zeit","Fecha y hora","Data/Ora"
"channel","Channel","채널","チャンネル","Канал","Canal","Kanaal","Kanal","Canal","Canale"
"channel1","Channel1","채널1","チャンネル 1","Поток1","Canal 1","Kanaal 1","Kanal 1","Canal 1","Canale1"
"channel2","Channel2","채널2","チャンネル 2","Поток2","Canal 2","Kanaal 2","Kanal 2","canal2","Canale2"
"channel3","Channel3","채널3","チャンネル 3","Поток3","Canal 3","Kanaal 3","Kanal 3","canal3","Canale3"
"setup_off","Off","끄기","オフ","Выкл.","Off","Uit","Aus","Apagado","Spento"
"off","Off","끄기","オフ","Выкл.","Off","Uit","Aus","Apagado","Spento"
"on","On","켜기","オン","Вкл.","On","Aan","An","Encendido","Acceso"
"off_c","Off","꺼짐","オフ","Выкл.","Off","Uit","Aus","Apagado","Spento"
"on_c","On","켜짐","オン","Вкл.","On","Aan","An","Encendido","Acceso"
"start_x","position X","X 위치","位置 X","Положение по X","position X","Positie X","Standort x","posición X","posizione X"
"start_y","position Y","Y 위치","位置 Y","Положение по Y","position Y","Positie Y","Standort y","posición Y","posizione Y"
